white,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
1,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
0,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
0,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
0,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
0,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
0,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
0,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
0,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
0,6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6
0,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
0,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
0,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
0,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
1,7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5
1,7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
0,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6
1,7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
0,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6
1,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5
1,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5
1,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
1,5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6
0,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
0,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
0,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
1,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6
1,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6
0,8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7
0,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5
1,6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6
0,6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
1,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,7
0,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6
0,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5
0,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
0,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
0,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
0,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
0,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
0,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
0,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
0,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
1,7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
0,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
0,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
0,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
0,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
0,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
0,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
1,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
1,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
0,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
1,6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
0,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
0,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
1,6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
1,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7
1,5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
0,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6
1,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6
1,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5
0,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
0,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
1,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6
1,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8
0,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
1,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7
1,6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5
0,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
0,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
0,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
0,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
0,7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5
0,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6
0,7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5
0,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
0,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5
1,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,6
0,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
1,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
0,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
1,6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
0,6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
0,6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
0,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
0,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
0,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
0,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
0,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
0,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
0,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
1,6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
1,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
1,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
1,7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
0,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
0,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
0,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
0,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
0,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
0,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
0,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
0,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
1,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
0,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
0,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
1,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,7
0,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
1,5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
1,5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
0,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
0,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5
1,5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,6
0,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
1,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
1,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
1,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
0,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5
0,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
0,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
0,6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
0,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
1,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
1,5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,6
0,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6
1,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6
0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
1,6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,6
0,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4
1,6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
0,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
0,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
0,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
0,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6
1,5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
1,5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
0,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
0,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
1,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6
0,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
0,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
1,5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6
0,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6
0,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5
0,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
0,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
1,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
0,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
0,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5
0,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4
1,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6
0,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
1,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7
1,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
0,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6
0,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6
1,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6
1,6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
0,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6
0,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6
0,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
0,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
1,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
1,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6
0,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
1,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3
1,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
1,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
1,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
1,6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5
0,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
0,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
0,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
0,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
0,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
0,6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6
0,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
1,6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
1,6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
0,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
0,6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
0,6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7
0,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
0,7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
1,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
1,6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
1,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4
0,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
0,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
0,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
0,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
0,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
1,7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
0,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
0,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
0,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
0,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
0,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
0,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
0,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
0,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6
0,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
0,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
0,7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6
0,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
1,6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
0,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
0,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
0,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
1,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
1,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5
0,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
0,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
0,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
0,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
0,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
0,7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
0,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
0,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6
0,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
0,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
1,7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5
1,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
1,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
0,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
0,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
0,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
0,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
0,7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5
0,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6
0,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
0,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
0,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
0,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
0,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
1,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
1,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
1,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
0,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
1,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7
0,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
0,6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4
0,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5
0,6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6
1,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6
0,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
0,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
0,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
1,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,7
0,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,6
1,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7
0,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5
1,5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7
1,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
1,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
1,6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5
0,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
0,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
1,8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
0,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
0,7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6
0,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
0,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
0,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
0,6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5
0,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
0,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
0,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
0,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
1,7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
0,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
0,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
0,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
0,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6
0,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6
0,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
0,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
0,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
0,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
1,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
1,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
1,6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
1,6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
1,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6
1,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7
1,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
1,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
0,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
0,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
0,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
0,7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
0,7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7
1,7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
0,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
0,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
0,6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
0,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
0,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
1,5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6
1,6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
0,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5
1,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5
1,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.33333333,5
1,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
0,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
1,5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
1,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
